Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1986,Quarter-finals,Estadio Universitario,Germany FR,0,0,Mexico,DIAZ PALACIO Jesus (COL),FRG,MEX
1986,Quarter-finals,Cuauhtemoc,Spain,1,1,Belgium,KIRSCHEN Siegfried (GER),ESP,BEL
1986,Quarter-finals,Estadio Azteca,Argentina,2,1,England,BENNACEUR Ali (TUN),ARG,ENG
1986,Semi-finals,Jalisco,France,0,2,Germany FR,AGNOLIN Luigi (ITA),FRA,FRG
1986,Semi-finals,Estadio Azteca,Argentina,2,0,Belgium,MARQUEZ RAMIREZ Antonio (MEX),ARG,BEL
1986,Match for third place,Cuauhtemoc,France,4,2,Belgium,COURTNEY George (ENG),FRA,BEL
1986,Final,Estadio Azteca,Argentina,3,2,Germany FR,ARPPI FILHO Romualdo (BRA),ARG,FRG
1990,Group B,Giuseppe Meazza,Argentina,0,1,Cameroon,VAUTROT Michel (FRA),ARG,CMR
1990,Group B,Stadio San Nicola,Soviet Union,0,2,Romania,CARDELLINO DE SAN VICENTE Juan (URU),URS,ROU
1990,Group D,Renato Dall Ara,"rn"">United Arab Emirates",0,2,Colombia,COURTNEY George (ENG),UAE,COL
1990,Group A,Stadio Olimpico,Italy,1,0,Austria,RAMIZ WRIGHT Jose (BRA),ITA,AUT
1990,Group A,Comunale,USA,1,5,Czechoslovakia,ROETHLISBERGER Kurt (SUI),USA,TCH
1990,Group C,Stadio delle Alpi,Brazil,2,1,Sweden,LANESE Tullio (ITA),BRA,SWE
1990,Group D,Giuseppe Meazza,Germany FR,4,1,Yugoslavia,MIKKELSEN Peter (DEN),FRG,YUG
1990,Group C,Luigi Ferraris,Costa Rica,1,0,Scotland,LOUSTAU Juan (ARG),CRC,SCO
1990,Group F,Sant Elia,England,1,1,"rn"">Republic of Ireland",SCHMIDHUBER Aron (GER),ENG,IRL
1990,Group E,Marc Antonio Bentegodi,Belgium,2,0,Korea Republic,MAURO Vincent (USA),BEL,KOR
1990,Group F,Della Favorita,Netherlands,1,1,Egypt,SORIANO ALADREN Emilio (ESP),NED,EGY
1990,Group E,Dacia Arena,Uruguay,0,0,Spain,KOHL Helmut (AUT),URU,ESP
1990,Group B,San Paolo,Argentina,2,0,Soviet Union,FREDRIKSSON Erik (SWE),ARG,URS
1990,Group B,Stadio San Nicola,Cameroon,2,1,Romania,SILVA ARCE Hernan (CHI),CMR,ROU
1990,Group D,Renato Dall Ara,Yugoslavia,1,0,Colombia,AGNOLIN Luigi (ITA),YUG,COL
1990,Group A,Stadio Olimpico,Italy,1,0,USA,CODESAL MENDEZ Edgardo (MEX),ITA,USA
1990,Group A,Comunale,Austria,0,1,Czechoslovakia,SMITH George (SCO),AUT,TCH
1990,Group D,Giuseppe Meazza,Germany FR,5,1,"rn"">United Arab Emirates",SPIRIN Alexey (RUS),FRG,UAE
1990,Group C,Stadio delle Alpi,Brazil,1,0,Costa Rica,JOUINI Neji (TUN),BRA,CRC
1990,Group C,Luigi Ferraris,Sweden,1,2,Scotland,MACIEL Carlos (PAR),SWE,SCO
1990,Group F,Sant Elia,England,0,0,Netherlands,PETROVIC Zoran (SRB),ENG,NED
1990,Group F,Della Favorita,"rn"">Republic of Ireland",0,0,Egypt,VAN LANGENHOVE Marcel (BEL),IRL,EGY
1990,Group E,Dacia Arena,Korea Republic,1,3,Spain,JACOME GUERRERO Elias V. (ECU),KOR,ESP
1990,Group E,Marc Antonio Bentegodi,Belgium,3,1,Uruguay,KIRSCHEN Siegfried (GER),BEL,URU
1990,Group B,San Paolo,Argentina,1,1,Romania,SILVA VALENTE Carlos Alberto (POR),ARG,ROU
1990,Group B,Stadio San Nicola,Cameroon,0,4,Soviet Union,RAMIZ WRIGHT Jose (BRA),CMR,URS
1990,Group D,Giuseppe Meazza,Germany FR,1,1,Colombia,SNODDY Alan (NIR),FRG,COL
1990,Group D,Renato Dall Ara,Yugoslavia,4,1,"rn"">United Arab Emirates",TAKADA Shizuo (JPN),YUG,UAE
1990,Group A,Stadio Olimpico,Italy,2,0,Czechoslovakia,QUINIOU Joel (FRA),ITA,TCH
1990,Group A,Comunale,Austria,2,1,USA,AL SHARIF Jamal (SYR),AUT,USA
1990,Group C,Stadio delle Alpi,Brazil,1,0,Scotland,KOHL Helmut (AUT),BRA,SCO
1990,Group C,Luigi Ferraris,Sweden,1,2,Costa Rica,PETROVIC Zoran (SRB),SWE,CRC
1990,Group E,Friuli,Korea Republic,0,1,Uruguay,LANESE Tullio (ITA),KOR,URU
1990,Group E,Marc Antonio Bentegodi,Belgium,1,2,Spain,LOUSTAU Juan (ARG),BEL,ESP
1990,Group F,Della Favorita,"rn"">Republic of Ireland",1,1,Netherlands,VAUTROT Michel (FRA),IRL,NED
1990,Group F,Sant Elia,England,1,0,Egypt,ROETHLISBERGER Kurt (SUI),ENG,EGY
1990,Round of 16,San Paolo,Cameroon,2,1,Colombia,LANESE Tullio (ITA),CMR,COL
1990,Round of 16,Stadio San Nicola,Czechoslovakia,4,1,Costa Rica,KIRSCHEN Siegfried (GER),TCH,CRC
1990,Round of 16,Stadio delle Alpi,Brazil,0,1,Argentina,QUINIOU Joel (FRA),BRA,ARG
1990,Round of 16,Giuseppe Meazza,Germany FR,2,1,Netherlands,LOUSTAU Juan (ARG),FRG,NED
1990,Round of 16,Luigi Ferraris,"rn"">Republic of Ireland",0,0,Romania,RAMIZ WRIGHT Jose (BRA),IRL,ROU
1990,Round of 16,Stadio Olimpico,Italy,2,0,Uruguay,COURTNEY George (ENG),ITA,URU
1990,Round of 16,Marc Antonio Bentegodi,Spain,1,2,Yugoslavia,SCHMIDHUBER Aron (GER),ESP,YUG
1990,Round of 16,Renato Dall Ara,England,1,0,Belgium,MIKKELSEN Peter (DEN),ENG,BEL
1990,Quarter-finals,Comunale,Yugoslavia,0,0,Argentina,ROETHLISBERGER Kurt (SUI),YUG,ARG
1990,Quarter-finals,Stadio Olimpico,Italy,1,0,"rn"">Republic of Ireland",SILVA VALENTE Carlos Alberto (POR),ITA,IRL
1990,Quarter-finals,Giuseppe Meazza,Germany FR,1,0,Czechoslovakia,KOHL Helmut (AUT),FRG,TCH
1990,Quarter-finals,San Paolo,England,3,2,Cameroon,CODESAL MENDEZ Edgardo (MEX),ENG,CMR
1990,Semi-finals,San Paolo,Italy,1,1,Argentina,VAUTROT Michel (FRA),ITA,ARG
1990,Semi-finals,Stadio delle Alpi,Germany FR,1,1,England,RAMIZ WRIGHT Jose (BRA),FRG,ENG
1990,Match for third place,Stadio San Nicola,Italy,2,1,England,QUINIOU Joel (FRA),ITA,ENG
1990,Final,Stadio Olimpico,Germany FR,1,0,Argentina,CODESAL MENDEZ Edgardo (MEX),FRG,ARG
1994,Group C,Cotton Bowl,Spain,2,2,Korea Republic,MIKKELSEN Peter (DEN),ESP,KOR
1994,Group C,Soldier Field,Germany,1,0,Bolivia,BRIZIO CARTER Arturo (MEX),GER,BOL
1994,Group A,Pontiac Silverdome,USA,1,1,Switzerland,LAMOLINA Francisco Oscar (ARG),USA,SUI
1994,Group E,Giants Stadium,Italy,0,1,"rn"">Republic of Ireland",VAN DER ENDE Mario (NED),ITA,IRL
1994,Group A,Rose Bowl,Colombia,1,3,Romania,AL SHARIF Jamal (SYR),COL,ROU
1994,Group F,Citrus Bowl,Belgium,1,0,Morocco,TORRES CADENA Jose Joaquin (COL),BEL,MAR
1994,Group E,RFK Stadium,Norway,1,0,Mexico,PUHL Sandor (HUN),NOR,MEX
1994,Group B,Rose Bowl,Cameroon,2,2,Sweden,TEJADA NORIEGA Alberto (PER),CMR,SWE
1994,Group F,RFK Stadium,Netherlands,2,1,Saudi Arabia,DIAZ VEGA Manuel (ESP),NED,KSA
1994,Group B,Stanford Stadium,Brazil,2,0,Russia,LIM KEE CHONG An Yan (MRI),BRA,RUS
1994,Group D,Foxboro Stadium,Argentina,4,0,Greece,ANGELES Arturo (USA),ARG,GRE
1994,Group D,Cotton Bowl,Nigeria,3,0,Bulgaria,BADILLA Rodrigo (CRC),NGA,BUL
1994,Group C,Soldier Field,Germany,1,1,Spain,FILIPPI Ernesto (URU),GER,ESP
1994,Group A,Pontiac Silverdome,Romania,1,4,Switzerland,JOUINI Neji (TUN),ROU,SUI
1994,Group A,Rose Bowl,USA,2,1,Colombia,BALDAS Fabio (ITA),USA,COL
1994,Group E,Giants Stadium,Italy,1,0,Norway,KRUG Hellmut (GER),ITA,NOR
1994,Group C,Foxboro Stadium,Korea Republic,0,0,Bolivia,MOTTRAM Leslie (SCO),KOR,BOL
1994,Group E,Citrus Bowl,Mexico,2,1,"rn"">Republic of Ireland",ROETHLISBERGER Kurt (SUI),MEX,IRL
1994,Group B,Pontiac Silverdome,Sweden,3,1,Russia,QUINIOU Joel (FRA),SWE,RUS
1994,Group B,Stanford Stadium,Brazil,3,0,Cameroon,BRIZIO CARTER Arturo (MEX),BRA,CMR
1994,Group F,Citrus Bowl,Belgium,1,0,Netherlands,MARSIGLIA Renato (BRA),BEL,NED
1994,Group F,Giants Stadium,Saudi Arabia,2,1,Morocco,DON Philip (ENG),KSA,MAR
1994,Group D,Foxboro Stadium,Argentina,2,1,Nigeria,KARLSSON Bo (SWE),ARG,NGA
1994,Group D,Soldier Field,Bulgaria,4,0,Greece,BUJSAIM Ali (UAE),BUL,GRE
1994,Group A,Rose Bowl,USA,0,1,Romania,VAN DER ENDE Mario (NED),USA,ROU
1994,Group A,Stanford Stadium,Switzerland,0,2,Colombia,MIKKELSEN Peter (DEN),SUI,COL
1994,Group C,Cotton Bowl,Germany,3,2,Korea Republic,QUINIOU Joel (FRA),GER,KOR
1994,Group C,Soldier Field,Bolivia,1,3,Spain,BADILLA Rodrigo (CRC),BOL,ESP
1994,Group E,Giants Stadium,"rn"">Republic of Ireland",0,0,Norway,TORRES CADENA Jose Joaquin (COL),IRL,NOR
1994,Group B,Pontiac Silverdome,Brazil,1,1,Sweden,PUHL Sandor (HUN),BRA,SWE
1994,Group E,RFK Stadium,Italy,1,1,Mexico,LAMOLINA Francisco Oscar (ARG),ITA,MEX
1994,Group B,Stanford Stadium,Russia,6,1,Cameroon,AL SHARIF Jamal (SYR),RUS,CMR
1994,Group F,Citrus Bowl,Morocco,1,2,Netherlands,TEJADA NORIEGA Alberto (PER),MAR,NED
1994,Group F,RFK Stadium,Belgium,0,1,Saudi Arabia,KRUG Hellmut (GER),BEL,KSA
1994,Group D,Foxboro Stadium,Greece,0,2,Nigeria,MOTTRAM Leslie (SCO),GRE,NGA
1994,Group D,Cotton Bowl,Argentina,0,2,Bulgaria,JOUINI Neji (TUN),ARG,BUL
1994,Round of 16,Soldier Field,Germany,3,2,Belgium,ROETHLISBERGER Kurt (SUI),GER,BEL
1994,Round of 16,RFK Stadium,Spain,3,0,Switzerland,VAN DER ENDE Mario (NED),ESP,SUI
1994,Round of 16,Cotton Bowl,Saudi Arabia,1,3,Sweden,MARSIGLIA Renato (BRA),KSA,SWE
1994,Round of 16,Rose Bowl,Romania,3,2,Argentina,PAIRETTO Pierluigi (ITA),ROU,ARG
1994,Round of 16,Citrus Bowl,Netherlands,2,0,"rn"">Republic of Ireland",MIKKELSEN Peter (DEN),NED,IRL
1994,Round of 16,Stanford Stadium,Brazil,1,0,USA,QUINIOU Joel (FRA),BRA,USA
1994,Round of 16,Foxboro Stadium,Nigeria,1,2,Italy,BRIZIO CARTER Arturo (MEX),NGA,ITA
1994,Round of 16,Giants Stadium,Mexico,1,1,Bulgaria,AL SHARIF Jamal (SYR),MEX,BUL
1994,Quarter-finals,Foxboro Stadium,Italy,2,1,Spain,PUHL Sandor (HUN),ITA,ESP
1994,Quarter-finals,Cotton Bowl,Netherlands,2,3,Brazil,BADILLA Rodrigo (CRC),NED,BRA
1994,Quarter-finals,Giants Stadium,Bulgaria,2,1,Germany,TORRES CADENA Jose Joaquin (COL),BUL,GER
1994,Quarter-finals,Stanford Stadium,Romania,2,2,Sweden,DON Philip (ENG),ROU,SWE
1994,Semi-finals,Giants Stadium,Bulgaria,1,2,Italy,QUINIOU Joel (FRA),BUL,ITA
1994,Semi-finals,Rose Bowl,Sweden,0,1,Brazil,TORRES CADENA Jose Joaquin (COL),SWE,BRA
1994,Match for third place,Rose Bowl,Sweden,4,0,Bulgaria,BUJSAIM Ali (UAE),SWE,BUL
1994,Final,Rose Bowl,Brazil,0,0,Italy,PUHL Sandor (HUN),BRA,ITA
1998,Group A,Stade de France,Brazil,2,1,Scotland,GARCIA ARANDA Jose Maria (ESP),BRA,SCO
1998,Group A,La Mosson,Morocco,2,2,Norway,ANPRASERT Pirom (THA),MAR,NOR
1998,Group B,Stade du Parc Lescure,Italy,2,2,Chile,BOUCHARDEAU Lucien (NIG),ITA,CHI
1998,Group B,Stade Municipal,Cameroon,1,1,Austria,GONZALEZ CHAVEZ Epifanio (PAR),CMR,AUT
1998,Group D,La Mosson,Paraguay,0,0,Bulgaria,ALZEID Abdulrahman (KSA),PAR,BUL
1998,Group C,Stade Felix Bollaert,Saudi Arabia,0,1,Denmark,CASTRILLI Javier (ARG),KSA,DEN
1998,Group C,Stade Vï¿½lodrome,France,3,0,South Africa,REZENDE Marcio (BRA),FRA,RSA
1998,Group D,La Beaujoire,Spain,2,3,Nigeria,BAHARMAST Esse (USA),ESP,NGA
1998,Group E,Stade de Gerland,Korea Republic,1,3,Mexico,BENKO Gunter (AUT),KOR,MEX
1998,Group E,Stade de France,Netherlands,0,0,Belgium,COLLINA Pierluigi (ITA),NED,BEL
1998,Group H,Stade Municipal,Argentina,1,0,Japan,VAN DER ENDE Mario (NED),ARG,JPN
1998,Group F,Stade Geoffroy Guichard,Yugoslavia,1,0,Iran,TEJADA NORIEGA Alberto (PER),YUG,IRN
1998,Group H,Stade Felix Bollaert,Jamaica,1,3,Croatia,MELO PEREIRA Vitor (POR),JAM,CRO
1998,Group G,Stade Vï¿½lodrome,England,2,0,Tunisia,OKADA Masayoshi (JPN),ENG,TUN
1998,Group G,Stade de Gerland,Romania,1,0,Colombia,LIM KEE CHONG An Yan (MRI),ROU,COL
1998,Group F,Parc des Princes,Germany,2,0,USA,BELQOLA Said (MAR),GER,USA
1998,Group A,Stade du Parc Lescure,Scotland,1,1,Norway,VAGNER Laszlo (HUN),SCO,NOR
1998,Group A,La Beaujoire,Brazil,3,0,Morocco,LEVNIKOV Nikolai (RUS),BRA,MAR
1998,Group B,Stade Geoffroy Guichard,Chile,1,1,Austria,EL GHANDOUR Gamal (EGY),CHI,AUT
1998,Group B,La Mosson,Italy,3,0,Cameroon,LENNIE Edward (AUS),ITA,CMR
1998,Group C,Stade Municipal,South Africa,1,1,Denmark,TORO RENDON John (COL),RSA,DEN
1998,Group C,Stade de France,France,4,0,Saudi Arabia,BRIZIO CARTER Arturo (MEX),FRA,KSA
1998,Group D,Parc des Princes,Nigeria,1,0,Bulgaria,SANCHEZ YANTEN Mario (CHI),NGA,BUL
1998,Group D,Stade Geoffroy Guichard,Spain,0,0,Paraguay,McLEOD Ian (RSA),ESP,PAR
1998,Group H,La Beaujoire,Japan,0,1,Croatia,RAMDHAN Ramesh (TRI),JPN,CRO
1998,Group E,Stade du Parc Lescure,Belgium,2,2,Mexico,DALLAS Hugh (SCO),BEL,MEX
1998,Group E,Stade Vï¿½lodrome,Netherlands,5,0,Korea Republic,WOJCIK Ryszard (POL),NED,KOR
1998,Group F,Stade Felix Bollaert,Germany,2,2,Yugoslavia,NIELSEN Kim Milton (DEN),GER,YUG
1998,Group H,Parc des Princes,Argentina,5,0,Jamaica,PEDERSEN Rune (NOR),ARG,JAM
1998,Group F,Stade de Gerland,USA,1,2,Iran,MEIER Urs (SUI),USA,IRN
1998,Group G,La Mosson,Colombia,1,0,Tunisia,HEYNEMANN Bernd (GER),COL,TUN
1998,Group G,Stade Municipal,Romania,2,1,England,BATTA Marc (FRA),ROU,ENG
1998,Group B,Stade de France,Italy,2,1,Austria,DURKIN Paul (ENG),ITA,AUT
1998,Group B,La Beaujoire,Chile,1,1,Cameroon,VAGNER Laszlo (HUN),CHI,CMR
1998,Group A,Stade Geoffroy Guichard,Scotland,0,3,Morocco,BUJSAIM Ali (UAE),SCO,MAR
1998,Group A,Stade Vï¿½lodrome,Brazil,1,2,Norway,BAHARMAST Esse (USA),BRA,NOR
1998,Group C,Stade de Gerland,France,2,1,Denmark,COLLINA Pierluigi (ITA),FRA,DEN
1998,Group C,Stade du Parc Lescure,South Africa,2,2,Saudi Arabia,SANCHEZ YANTEN Mario (CHI),RSA,KSA
1998,Group D,Stade Felix Bollaert,Spain,6,1,Bulgaria,VAN DER ENDE Mario (NED),ESP,BUL
1998,Group D,Stade Municipal,Nigeria,1,3,Paraguay,ANPRASERT Pirom (THA),NGA,PAR
1998,Group E,Parc des Princes,Belgium,1,1,Korea Republic,REZENDE Marcio (BRA),BEL,KOR
1998,Group E,Stade Geoffroy Guichard,Netherlands,2,2,Mexico,ALZEID Abdulrahman (KSA),NED,MEX
1998,Group F,La Mosson,Germany,2,0,Iran,GONZALEZ CHAVEZ Epifanio (PAR),GER,IRN
1998,Group F,La Beaujoire,USA,0,1,Yugoslavia,EL GHANDOUR Gamal (EGY),USA,YUG
1998,Group H,Stade de Gerland,Japan,1,2,Jamaica,BENKO Gunter (AUT),JPN,JAM
1998,Group H,Stade du Parc Lescure,Argentina,1,0,Croatia,BELQOLA Said (MAR),ARG,CRO
1998,Group G,Stade de France,Romania,1,1,Tunisia,LENNIE Edward (AUS),ROU,TUN
1998,Group G,Stade Felix Bollaert,Colombia,0,2,England,BRIZIO CARTER Arturo (MEX),COL,ENG
1998,Round of 16,Stade Vï¿½lodrome,Italy,1,0,Norway,HEYNEMANN Bernd (GER),ITA,NOR
1998,Round of 16,Parc des Princes,Brazil,4,1,Chile,BATTA Marc (FRA),BRA,CHI
1998,Round of 16,Stade Felix Bollaert,France,1,0,Paraguay,BUJSAIM Ali (UAE),FRA,PAR
1998,Round of 16,Stade de France,Nigeria,1,4,Denmark,MEIER Urs (SUI),NGA,DEN
1998,Round of 16,La Mosson,Germany,2,1,Mexico,MELO PEREIRA Vitor (POR),GER,MEX
1998,Round of 16,Stade Municipal,Netherlands,2,1,Yugoslavia,GARCIA ARANDA Jose Maria (ESP),NED,YUG
1998,Round of 16,Stade du Parc Lescure,Romania,0,1,Croatia,CASTRILLI Javier (ARG),ROU,CRO
1998,Round of 16,Stade Geoffroy Guichard,Argentina,2,2,England,NIELSEN Kim Milton (DEN),ARG,ENG
1998,Quarter-finals,Stade de France,Italy,0,0,France,DALLAS Hugh (SCO),ITA,FRA
1998,Quarter-finals,La Beaujoire,Brazil,3,2,Denmark,EL GHANDOUR Gamal (EGY),BRA,DEN
1998,Quarter-finals,Stade Vï¿½lodrome,Netherlands,2,1,Argentina,BRIZIO CARTER Arturo (MEX),NED,ARG
1998,Quarter-finals,Stade de Gerland,Germany,0,3,Croatia,PEDERSEN Rune (NOR),GER,CRO
1998,Semi-finals,Stade Vï¿½lodrome,Brazil,1,1,Netherlands,BUJSAIM Ali (UAE),BRA,NED
1998,Semi-finals,Stade de France,France,2,1,Croatia,GARCIA ARANDA Jose Maria (ESP),FRA,CRO
1998,Match for third place,Parc des Princes,Netherlands,1,2,Croatia,GONZALEZ CHAVEZ Epifanio (PAR),NED,CRO
1998,Final,Stade de France,Brazil,0,3,France,BELQOLA Said (MAR),BRA,FRA
2002,Group A,Seoul World Cup Stadium,France,0,1,Senegal,BUJSAIM Ali (UAE),FRA,SEN
2002,Group A,Munsu Football Stadium,Uruguay,1,2,Denmark,MANE Saad (KUW),URU,DEN
2002,Group E,Niigata Stadium Big Swan,"rn"">Republic of Ireland",1,1,Cameroon,KAMIKAWA Toru (JPN),IRL,CMR
2002,Group E,Sapporo Dome,Germany,8,0,Saudi Arabia,AQUINO Ubaldo (PAR),GER,KSA
2002,Group F,Kashima Stadium,Argentina,1,0,Nigeria,VEISSIERE Gilles (FRA),ARG,NGA
2002,Group B,Busan Asiad Main Stadium,Paraguay,2,2,South Africa,MICHEL Lubos (SVK),PAR,RSA
2002,Group F,Saitama Stadium 2002,England,1,1,Sweden,SIMON Carlos (BRA),ENG,SWE
2002,Group B,Gwangju World Cup Stadium,Spain,3,1,Slovenia,GUEZZAZ Mohammed (MAR),ESP,SVN
2002,Group C,Munsu Football Stadium,Brazil,2,1,Turkey,KIM Young Joo (KOR),BRA,TUR
2002,Group G,Sapporo Dome,Italy,2,0,Ecuador,HALL Brian (USA),ITA,ECU
2002,Group G,Niigata Stadium Big Swan,Croatia,0,1,Mexico,JUN Lu (CHN),CRO,MEX
2002,Group C,Gwangju World Cup Stadium,China PR,0,2,Costa Rica,VASSARAS Kyros (GRE),CHN,CRC
2002,Group H,Saitama Stadium 2002,Japan,2,2,Belgium,MATTUS William (CRC),JPN,BEL
2002,Group D,Busan Asiad Main Stadium,Korea Republic,2,0,Poland,RUIZ Oscar (COL),KOR,POL
2002,Group H,Kobe Wing Stadium,Russia,2,0,Tunisia,PRENDERGAST Peter (JAM),RUS,TUN
2002,Group D,Suwon World Cup Stadium,USA,3,2,Portugal,MORENO Byron (ECU),USA,POR
2002,Group E,Kashima Stadium,Germany,1,1,"rn"">Republic of Ireland",NIELSEN Kim Milton (DEN),GER,IRL
2002,Group A,Daegu World Cup Stadium,Denmark,1,1,Senegal,BATRES Carlos (GUA),DEN,SEN
2002,Group E,Saitama Stadium 2002,Cameroon,1,0,Saudi Arabia,HAUGE Terje (NOR),CMR,KSA
2002,Group A,Busan Asiad Main Stadium,France,0,0,Uruguay,RAMOS RIZO Felipe (MEX),FRA,URU
2002,Group F,Kobe Wing Stadium,Sweden,2,1,Nigeria,ORTUBE Rene (BOL),SWE,NGA
2002,Group F,Sapporo Dome,Argentina,0,1,England,COLLINA Pierluigi (ITA),ARG,ENG
2002,Group B,Jeonju World Cup Stadium,Spain,3,1,Paraguay,EL GHANDOUR Gamal (EGY),ESP,PAR
2002,Group B,Daegu World Cup Stadium,South Africa,1,0,Slovenia,SANCHEZ Angel (ARG),RSA,SVN
2002,Group C,Jeju World Cup Stadium,Brazil,4,0,China PR,FRISK Anders (SWE),BRA,CHN
2002,Group G,Kashima Stadium,Italy,1,2,Croatia,POLL Graham (ENG),ITA,CRO
2002,Group C,Incheon Football Stadium,Costa Rica,1,1,Turkey,CODJIA Coffi (BEN),CRC,TUR
2002,Group H,International Stadium Yokohama,Japan,1,0,Russia,MERK Markus (GER),JPN,RUS
2002,Group G,Miyagi Stadium,Mexico,2,1,Ecuador,DAAMI Mourad (TUN),MEX,ECU
2002,Group D,Daegu World Cup Stadium,Korea Republic,1,1,USA,MEIER Urs (SUI),KOR,USA
2002,Group D,Jeonju World Cup Stadium,Portugal,4,0,Poland,DALLAS Hugh (SCO),POR,POL
2002,Group H,Oita Stadium Big Eye,Tunisia,1,1,Belgium,SHIELD Mark (AUS),TUN,BEL
2002,Group A,Incheon Football Stadium,Denmark,2,0,France,MELO PEREIRA Vitor (POR),DEN,FRA
2002,Group A,Suwon World Cup Stadium,Senegal,3,3,Uruguay,WEGEREEF Jan (NED),SEN,URU
2002,Group E,International Stadium Yokohama,Saudi Arabia,0,3,"rn"">Republic of Ireland",NDOYE Falla (SEN),KSA,IRL
2002,Group E,Shizuoka Stadium Ecopa,Cameroon,0,2,Germany,LOPEZ NIETO Antonio (ESP),CMR,GER
2002,Group F,Miyagi Stadium,Sweden,1,1,Argentina,BUJSAIM Ali (UAE),SWE,ARG
2002,Group F,Osaka Nagai Stadium,Nigeria,0,0,England,HALL Brian (USA),NGA,ENG
2002,Group B,Jeju World Cup Stadium,Slovenia,1,3,Paraguay,RAMOS RIZO Felipe (MEX),SVN,PAR
2002,Group B,Daejeon World Cup Stadium,South Africa,2,3,Spain,MANE Saad (KUW),RSA,ESP
2002,Group C,Suwon World Cup Stadium,Costa Rica,2,5,Brazil,EL GHANDOUR Gamal (EGY),CRC,BRA
2002,Group C,Seoul World Cup Stadium,Turkey,3,0,China PR,RUIZ Oscar (COL),TUR,CHN
2002,Group G,International Stadium Yokohama,Ecuador,1,0,Croatia,MATTUS William (CRC),ECU,CRO
2002,Group G,Oita Stadium Big Eye,Mexico,1,1,Italy,SIMON Carlos (BRA),MEX,ITA
2002,Group H,Osaka Nagai Stadium,Tunisia,0,2,Japan,VEISSIERE Gilles (FRA),TUN,JPN
2002,Group D,Incheon Football Stadium,Portugal,0,1,Korea Republic,SANCHEZ Angel (ARG),POR,KOR
2002,Group D,Daejeon World Cup Stadium,Poland,3,1,USA,LU Jun (CHN),POL,USA
2002,Group H,Shizuoka Stadium Ecopa,Belgium,3,2,Russia,NIELSEN Kim Milton (DEN),BEL,RUS
2002,Round of 16,Niigata Stadium Big Swan,Denmark,0,3,England,MERK Markus (GER),DEN,ENG
2002,Round of 16,Jeju World Cup Stadium,Germany,1,0,Paraguay,BATRES Carlos (GUA),GER,PAR
2002,Round of 16,Suwon World Cup Stadium,Spain,1,1,"rn"">Republic of Ireland",FRISK Anders (SWE),ESP,IRL
2002,Round of 16,Oita Stadium Big Eye,Sweden,1,2,Senegal,AQUINO Ubaldo (PAR),SWE,SEN
2002,Round of 16,Kobe Wing Stadium,Brazil,2,0,Belgium,PRENDERGAST Peter (JAM),BRA,BEL
2002,Round of 16,Jeonju World Cup Stadium,Mexico,0,2,USA,MELO PEREIRA Vitor (POR),MEX,USA
2002,Round of 16,Miyagi Stadium,Japan,0,1,Turkey,COLLINA Pierluigi (ITA),JPN,TUR
2002,Round of 16,Daejeon World Cup Stadium,Korea Republic,2,1,Italy,MORENO Byron (ECU),KOR,ITA
2002,Quarter-finals,Shizuoka Stadium Ecopa,England,1,2,Brazil,RAMOS RIZO Felipe (MEX),ENG,BRA
2002,Quarter-finals,Munsu Football Stadium,Germany,1,0,USA,DALLAS Hugh (SCO),GER,USA
2002,Quarter-finals,Osaka Nagai Stadium,Senegal,0,1,Turkey,RUIZ Oscar (COL),SEN,TUR
2002,Quarter-finals,Gwangju World Cup Stadium,Spain,0,0,Korea Republic,EL GHANDOUR Gamal (EGY),ESP,KOR
2002,Semi-finals,Seoul World Cup Stadium,Germany,1,0,Korea Republic,MEIER Urs (SUI),GER,KOR
2002,Semi-finals,Saitama Stadium 2002,Brazil,1,0,Turkey,NIELSEN Kim Milton (DEN),BRA,TUR
2002,Third place,Daegu World Cup Stadium,Korea Republic,2,3,Turkey,MANE Saad (KUW),KOR,TUR
2002,Final,International Stadium Yokohama,Germany,0,2,Brazil,COLLINA Pierluigi (ITA),GER,BRA
2006,Group A,"FIFA World Cup Stadium, Munich",Germany,4,2,Costa Rica,ELIZONDO Horacio (ARG),GER,CRC
2006,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Poland,0,2,Ecuador,KAMIKAWA Toru (JPN),POL,ECU
2006,Group B,"FIFA World Cup Stadium, Frankfurt",England,1,0,Paraguay,RODRIGUEZ Marco (MEX),ENG,PAR
2006,Group B,"FIFA World Cup Stadium, Dortmund","rn"">Trinidad and Tobago",0,0,Sweden,MAIDIN Shamsul (SIN),TRI,SWE
2006,Group C,"FIFA World Cup Stadium, Hamburg",Argentina,2,1,Cï¿½te d'Ivoire,DE BLEECKERE Frank (BEL),ARG,CIV
2006,Group C,Zentralstadion,"rn"">Serbia and Montenegro",0,1,Netherlands,MERK Markus (GER),SCG,NED
2006,Group D,Franken-Stadion,Mexico,3,1,Iran,ROSETTI Roberto (ITA),MEX,IRN
2006,Group D,"FIFA World Cup Stadium, Cologne",Angola,0,1,Portugal,LARRIONDA Jorge (URU),ANG,POR
2006,Group F,Fritz-Walter-Stadion,Australia,3,1,Japan,ABD EL FATAH Essam (EGY),AUS,JPN
